Song Number,Song Title,Album,Year,Scripture Reference,Webpage URL,Spotify Link,Description,Publication Date,Duration,Target Age Group,Musical Style,Lyrics
5,Abound In Hope,Hope,2021,Romans 15:13,https://seedskidsworship.com/product/abound-in-hope-romans-1513/,https://open.spotify.com/track/0VcCIdZCaYQHyHat2s9RpM,Uplifting song about being filled with joy and peace through the power of the Holy Spirit,06/22/2021,2:24,All Ages,Uplifting Praise,"Verse:
May the God of hope
Fill you with all joy
And peace in believing
And peace in believing
Repeat Verse
Chorus:
So that by the power of the Holy Spirit
You may abound in hope
Abound in hope
So that by the power of the Holy Spirit
You may abound in hope
Tag:
Abound in hooooooooope
Oooooh, oooooh
Abound in hooooooooope
Oooooh, oooooh
Abound in hooooooooope
Repeat Verse
Repeat Chorus
Repeat Tag"
8,All Have Sinned,I Am With You,2019,Romans 3:23 & 6:23,https://seedskidsworship.com/product/all-have-sinned-romans-323-623-2/,https://open.spotify.com/track/6U3aUKVsAkdETxrnehBLHF,Gospel-centered song explaining humanity's sinful nature and God's gift of eternal life through Christ,03/15/2019,2:16,All Ages,Gospel Message,"Verse:
For all have sinned
And fall short of the glory of God
All have sinned
And fall short of the glory of God
Chorus:
For the wages of sin is death
But the free gift of God is eternal life
For the wages of sin is death
But the free gift of God is eternal life
In Christ Jesus our Lord
In Christ Jesus our Lord
Turn:
(It’s a free gift, it’s a free gift)
(It’s a free gift, it’s a free gift)
Repeat Verse
Repeat Chorus
Ending:
(It’s a free gift, it’s a free gift)
(It’s a free gift, it’s a free gift)"
11,Babel,I Am With You,2019,Genesis 11:9,https://seedskidsworship.com/product/i-am-with-you/,https://open.spotify.com/track/2vC3y5dsW2WGxMDegilXf2,Story-telling song about the Tower of Babel and God's response to human pride,10/15/2019,2:54,All Ages,Biblical Narrative,"Therefore its name was called Babel  
Because there the Lord confused  
The language of all the earth  
And from there the Lord dispersed them over the face of all the earth  

Then they said, “Come, let us build ourselves a city and a tower  
With its top in the heavens and let us make a name for ourselves  
Lest we be dispersed over the face of the whole earth  
Over the face of the whole earth”  
Woohoo (Hola), Woohoo (Bonjour), Woohoo (Ciao)  

And God said, “Come, let us go down and there confuse their language  
So that they may not understand one another’s speech.”  
So the Lord dispersed them from there over the face of all the earth  
And they left off… building the city  

And they called it Babel, they built a tower  
They told themselves, this is our finest hour  
And they called it Babel, but God burst their bubble  
And they left that city unfinished rubble  
And they called it Babel  

Woohoo (Halo), Woohoo (Ni Hao), Woohoo (Konnichiwa), (Bula)  
Woohoo (Shalom), Woohoo (Hello)"
12,Be Strong and Courageous,I Am With You,2019,Joshua 1:9,https://seedskidsworship.com/product/be-strong-and-courageous-joshua-19-2/,https://open.spotify.com/track/3v8rqPmTTUYJh5o4ndAvZA,Encouraging song about courage and strength knowing God is always with us,03/15/2019,3:10,All Ages,Courage & Strength,"Verse:
Have I not commanded you, have I not commanded you
Be strong and courageous
Do not be frightened and do not be dismayed
Be strong and courageous
Whoa...
Chorus:
For the Lord your God is with you
For the Lord your God is with you
Wherever you go, ever you go
Wherever you go, go, go
Wherever you go
Bridge:
Be strong and courageous, be strong and courageous
Be strong and courageous, be strong
Be strong and courageous, be strong and courageous
(Wherever you go, ever you go, wherever you go, go, go)
Be strong and courageous, be strong
(Wherever you go)
Be strong and courageous, be strong and courageous
(Wherever you go, ever you go, wherever you go, go, go)
Be strong and courageous, be strong, be strong (be strong)
(Wherever you go)
Tag:
Joshua 1:9
Wherever you go

"
17,Be Strong And Courageous,I Am With You,2019,Joshua 1:9,https://seedskidsworship.com/product/be-strong-and-courageous-joshua-19-2/,https://open.spotify.com/track/3v8rqPmTTUYJh5o4ndAvZA,Duplicate entry - same as song 12,03/15/2019,3:10,All Ages,Courage & Strength,"Verse:
Have I not commanded you, have I not commanded you
Be strong and courageous
Do not be frightened and do not be dismayed
Be strong and courageous
Whoa...
Chorus:
For the Lord your God is with you
For the Lord your God is with you
Wherever you go, ever you go
Wherever you go, go, go
Wherever you go
Bridge:
Be strong and courageous, be strong and courageous
Be strong and courageous, be strong
Be strong and courageous, be strong and courageous
(Wherever you go, ever you go, wherever you go, go, go)
Be strong and courageous, be strong
(Wherever you go)
Be strong and courageous, be strong and courageous
(Wherever you go, ever you go, wherever you go, go, go)
Be strong and courageous, be strong, be strong (be strong)
(Wherever you go)
Tag:
Joshua 1:9
Wherever you go


"
42,Fear Not,I Am With You,2019,Isaiah 41:10–11,https://seedskidsworship.com/product/fear-not-isaiah-4110-2/,https://open.spotify.com/track/17SkoKt7hnczg21EMp7I0w,"Taken from Isaiah 41:10-11, this encouraging song reminds children not to fear because God is with them, strengthening and upholding them even when enemies rise against them.",10/15/2019,2:25,All Ages,Courage & Strength,"Verse:
Fear not for I am with you
Be not dismayed
For I am your God, I will strengthen you
I will help you, I will uphold you
Chorus:
With my righteous right hand
With my righteous right hand
Tag:
Isaiah 41:10"
73,I Will Confess,I Am With You,2019,Psalm 32:5,https://seedskidsworship.com/product/i-will-confess-psalm-325/,https://open.spotify.com/track/1qWQLQUvYmw0WT3EzZ6ZYN,Repentance song about confessing sin and receiving forgiveness from Psalm 32:5,03/15/2019,2:15,All Ages,Repentance & Forgiveness,"Verse:
I acknowledged my sin to you
And I did not cover my iniquity
I acknowledged my sin to you
And I did not cover my iniquity
Pre-Chorus:
Oooh Oooh Oooh Oooh
Whoa Ohhh Whoa Ohhh
Chorus:
(I said) I will confess my transgressions to the Lord
I will confess my transgressions to the Lord
Bridge 1:
And you forgave the iniquity of my sin
And you forgave the iniquity of my sin
Bridge 2:
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Verse (Repeat):
I acknowledged my sin to you
And I did not cover my iniquity
I acknowledged my sin to you
And I did not cover my iniquity
Chorus (Repeat):
(I said) I will confess my transgressions to the Lord
I will confess my transgressions to the Lord
Ending:
Hallelujah, Hallelujah (Hallelujah) (Hallelujah)
Hallelujah, (Hallelujah) Hallelujah (Hallelujah)
"
76,If We Confess,I Am With You,2019,1 John 1:8–9,https://seedskidsworship.com/product/if-we-confess-1-john-18-9/,https://open.spotify.com/track/19PBCHkH9wLPo6P7kVvwlM,Forgiveness song about confessing sins and God's faithfulness to forgive from 1 John 1:8-9,03/15/2019,4:04,All Ages,Forgiveness & Grace,"Intro:
Oh, oh, oh, oh, oh (Oh, oh, oh, oh, oh)
Yeah (Yeah)
Verse:
If we say we have no sin
We deceive ourselves
And the truth is not
The truth is not in us
If we say we have no sin
We deceive ourselves
And the truth is not
The truth is not in us
Chorus:
If we confess our sins
He is faithful and just to
Forgive us our sins and to
Cleanse us from all unrighteousness
If we confess our sins
He is faithful and just to
Forgive us our sins and to
Cleanse us from all unrighteousness
Turn:
Oh, oh, oh, oh, oh (Oh, oh, oh, oh, oh)
Yeah (Yeah)
Solo:
Oh, oh, oh, oh, oh (Oh, oh, oh, oh, oh)
Yeah (Yeah)
Oh, oh, oh, oh, oh Oh, oh, oh, oh, oh
Yeah Yeah Yeah
Repeat Chorus
Ending:
Oh, oh, oh, oh, oh (Oh, oh, oh, oh, oh)
Yeah (Yeah)
Oh, oh, oh, oh, oh (Oh, oh, oh, oh, oh)
Yeah Yeah Yeah
"
82,Let Him Ask God,I Am With You,2019,James 1:5,https://seedskidsworship.com/product/let-him-ask-god-james-15/,https://open.spotify.com/track/5P6q65f88i6Fc16ggaz6Nr,Wisdom song encouraging children to ask God for wisdom from James 1:5,03/15/2019,2:22,All Ages,Wisdom & Prayer,"Intro:
Oooh, Oooh, Oooh, Oooh
Oooh, Oooh, Let Him Ask God
Verse:
If any of you lacks wisdom
Let him ask God, Let him ask God
If any of you lacks wisdom
Let him ask God, Let him ask God
Chorus:
Who gives generously to all without reproach
And it will be given to him, given to him, given to him
Turn:
Let Him Ask God
Repeat Verse
Repeat Chorus
Turn:
Let Him Ask God
Tag:
James one five
Let Him Ask God, Let Him Ask God
Oooh, Oooh, Oooh, Oooh
Oooh, Oooh, Let Him Ask God
"
89,My Son,I Am With You,2019,Proverbs 3:11–12,https://seedskidsworship.com/product/my-son-proverbs-311-12-2/,https://open.spotify.com/track/4havsH3akX0EXqLgcN7Rsz,Scripture song based on Romans 8:37 reminding believers that through Christ’s love we are more than conquerors over any trial.,04/18/2011,3:44,Ages 3-12,Victory & Encouragement,"Verse:
My son, do not despise the Lord's discipline or be weary of His reproof
Chorus:
For the Lord reproves him whom He loves
As a father the son in whom he delights
For the Lord reproves him whom He loves
As a father the son in whom he delights
Tag:
He loves you my son, He loves you my son
I delight in you my son, I delight in you my son
He loves you my son, He loves you my son
I delight in you my son, I delight in you my son
"
