keyword,cluster,url,search_intent,difficulty
bible songs for kids app download,bible_apps,/songs/bible-songs-for-kids-app-download,commercial,medium
bible songs for kids app free,bible_apps,/songs/bible-songs-for-kids-app-free,commercial,medium
bible songs for kids app android,bible_apps,/songs/bible-songs-for-kids-app-android,commercial,medium
bible songs for kids app ios,bible_apps,/songs/bible-songs-for-kids-app-ios,commercial,medium
bible songs for kids app offline,bible_apps,/songs/bible-songs-for-kids-app-offline,commercial,medium
bible songs for kids app with lyrics,bible_apps,/songs/bible-songs-for-kids-app-with-lyrics,informational,low
bible songs for kids app reviews,bible_apps,/reviews/bible-songs-for-kids-app-reviews,informational,medium
best bible songs for kids app,bible_apps,/songs/best-bible-songs-for-kids-app,commercial,high
christian songs for kids app,bible_apps,/songs/christian-songs-for-kids-app,commercial,medium
scripture songs for kids app,bible_apps,/songs/scripture-songs-for-kids-app,commercial,medium
toddler bible songs app,bible_apps,/songs/toddler-bible-songs-app,commercial,medium
preschool bible songs app,bible_apps,/songs/preschool-bible-songs-app,commercial,medium
interactive bible songs for kids app,bible_apps,/songs/interactive-bible-songs-for-kids-app,commercial,low
bible songs and games for kids app,bible_apps,/songs/bible-songs-and-games-for-kids-app,commercial,low
bible songs for kids learning app,bible_apps,/songs/bible-songs-for-kids-learning-app,commercial,low
christmas bible songs for kids,christmas,/activities/christmas-bible-songs-for-kids,informational,medium
christmas bible songs for toddlers,christmas,/activities/christmas-bible-songs-for-toddlers,informational,medium
christmas bible songs for preschoolers,christmas,/activities/christmas-bible-songs-for-preschoolers,informational,medium
christmas bible songs with lyrics,christmas,/activities/christmas-bible-songs-with-lyrics,informational,low
christmas bible songs with motions,christmas,/activities/christmas-bible-songs-with-motions,informational,low
christmas bible songs with actions,christmas,/activities/christmas-bible-songs-with-actions,informational,low
christmas bible songs youtube,christmas,/activities/christmas-bible-songs-youtube,informational,medium
christmas bible songs videos,christmas,/activities/christmas-bible-songs-videos,informational,medium
christmas bible songs playlist,christmas,/activities/christmas-bible-songs-playlist,informational,low
christmas bible songs for church,christmas,/activities/christmas-bible-songs-for-church,informational,medium
christmas bible songs for sunday school,christmas,/activities/christmas-bible-songs-for-sunday-school,informational,medium
christmas bible songs for children's choir,christmas,/activities/christmas-bible-songs-for-childrens-choir,informational,low
easy christmas bible songs,christmas,/activities/easy-christmas-bible-songs,informational,medium
simple christmas bible songs,christmas,/activities/simple-christmas-bible-songs,informational,medium
traditional christmas bible songs,christmas,/activities/traditional-christmas-bible-songs,informational,low
modern christmas bible songs,christmas,/activities/modern-christmas-bible-songs,informational,low
christmas bible songs about jesus birth,christmas,/activities/christmas-bible-songs-about-jesus-birth,informational,low
christmas bible songs mary and joseph,christmas,/activities/christmas-bible-songs-mary-and-joseph,informational,low
christmas bible songs angels,christmas,/activities/christmas-bible-songs-angels,informational,low
christmas bible songs wise men,christmas,/activities/christmas-bible-songs-wise-men,informational,low
christmas bible songs nativity,christmas,/activities/christmas-bible-songs-nativity,informational,medium
christmas bible songs silent night,christmas,/activities/christmas-bible-songs-silent-night,informational,low
christmas bible songs joy to the world,christmas,/activities/christmas-bible-songs-joy-to-the-world,informational,low
christmas bible songs o holy night,christmas,/activities/christmas-bible-songs-o-holy-night,informational,low
easter worship songs for kids,easter,/activities/easter-worship-songs-for-kids,informational,medium
easter worship songs for toddlers,easter,/activities/easter-worship-songs-for-toddlers,informational,medium
easter worship songs for preschoolers,easter,/activities/easter-worship-songs-for-preschoolers,informational,medium
easter worship songs for children,easter,/activities/easter-worship-songs-for-children,informational,medium
easter worship songs with lyrics,easter,/activities/easter-worship-songs-with-lyrics,informational,low
easter worship songs with motions,easter,/activities/easter-worship-songs-with-motions,informational,low
easter worship songs with actions,easter,/activities/easter-worship-songs-with-actions,informational,low
easter worship songs youtube,easter,/activities/easter-worship-songs-youtube,informational,medium
easter worship songs videos,easter,/activities/easter-worship-songs-videos,informational,medium
easter worship songs playlist,easter,/activities/easter-worship-songs-playlist,informational,low
easter worship songs for church,easter,/activities/easter-worship-songs-for-church,informational,medium
easter worship songs for sunday school,easter,/activities/easter-worship-songs-for-sunday-school,informational,medium
easy easter worship songs,easter,/activities/easy-easter-worship-songs,informational,medium
simple easter worship songs,easter,/activities/simple-easter-worship-songs,informational,medium
modern easter worship songs,easter,/activities/modern-easter-worship-songs,informational,low
traditional easter worship songs,easter,/activities/traditional-easter-worship-songs,informational,low
easter worship songs about resurrection,easter,/activities/easter-worship-songs-about-resurrection,informational,low
easter worship songs jesus is alive,easter,/activities/easter-worship-songs-jesus-is-alive,informational,low
easter worship songs he is risen,easter,/activities/easter-worship-songs-he-is-risen,informational,low
easter worship songs hallelujah,easter,/activities/easter-worship-songs-hallelujah,informational,low
easter worship songs hosanna,easter,/activities/easter-worship-songs-hosanna,informational,low
easter worship songs palm sunday,easter,/activities/easter-worship-songs-palm-sunday,informational,low
easter worship songs good friday,easter,/activities/easter-worship-songs-good-friday,informational,low
easter worship songs resurrection day,easter,/activities/easter-worship-songs-resurrection-day,informational,low
easter celebration songs for kids,easter,/activities/easter-celebration-songs-for-kids,informational,medium
easter praise songs for children,easter,/activities/easter-praise-songs-for-children,informational,medium
easter hymns for kids,easter,/activities/easter-hymns-for-kids,informational,medium
easter songs for kids church,easter,/activities/easter-songs-for-kids-church,informational,medium
kids christian music videos,christian_music,/songs/kids-christian-music-videos,informational,medium
kids christian music youtube,christian_music,/songs/kids-christian-music-youtube,informational,medium
kids christian music playlist,christian_music,/songs/kids-christian-music-playlist,informational,low
kids christian music cd,christian_music,/songs/kids-christian-music-cd,commercial,medium
kids christian music radio,christian_music,/songs/kids-christian-music-radio,informational,medium
kids christian music streaming,christian_music,/songs/kids-christian-music-streaming,commercial,medium
kids christian music free download,christian_music,/songs/kids-christian-music-free-download,commercial,medium
kids christian music with lyrics,christian_music,/songs/kids-christian-music-with-lyrics,informational,low
kids christian music with motions,christian_music,/songs/kids-christian-music-with-motions,informational,low
kids christian music for toddlers,christian_music,/songs/kids-christian-music-for-toddlers,informational,medium
kids christian music for preschoolers,christian_music,/songs/kids-christian-music-for-preschoolers,informational,medium
kids christian music for church,christian_music,/songs/kids-christian-music-for-church,informational,medium
kids christian music for sunday school,christian_music,/songs/kids-christian-music-for-sunday-school,informational,medium
kids christian music for car rides,christian_music,/songs/kids-christian-music-for-car-rides,informational,low
kids christian music for bedtime,christian_music,/songs/kids-christian-music-for-bedtime,informational,low
kids christian music for worship,christian_music,/songs/kids-christian-music-for-worship,informational,medium
kids christian music contemporary,christian_music,/songs/kids-christian-music-contemporary,informational,low
kids christian music traditional,christian_music,/songs/kids-christian-music-traditional,informational,low
kids christian music praise songs,christian_music,/songs/kids-christian-music-praise-songs,informational,medium
kids christian music worship songs,christian_music,/songs/kids-christian-music-worship-songs,informational,medium
kids christian music bible songs,christian_music,/songs/kids-christian-music-bible-songs,informational,medium
kids christian music scripture songs,christian_music,/songs/kids-christian-music-scripture-songs,informational,medium
christian music for young children,christian_music,/songs/christian-music-for-young-children,informational,medium
christian music for elementary kids,christian_music,/songs/christian-music-for-elementary-kids,informational,medium
christian music for middle school kids,christian_music,/songs/christian-music-for-middle-school-kids,informational,medium
family christian music kids,christian_music,/songs/family-christian-music-kids,informational,medium
uplifting christian music for kids,christian_music,/songs/uplifting-christian-music-for-kids,informational,low
scripture songs for kids,scripture_memory,/songs/scripture-songs-for-kids,informational,medium
scripture songs for toddlers,scripture_memory,/songs/scripture-songs-for-toddlers,informational,medium
scripture songs for preschoolers,scripture_memory,/songs/scripture-songs-for-preschoolers,informational,medium
scripture songs for children,scripture_memory,/songs/scripture-songs-for-children,informational,medium
scripture songs for memorization,scripture_memory,/songs/scripture-songs-for-memorization,informational,medium
scripture songs with lyrics,scripture_memory,/songs/scripture-songs-with-lyrics,informational,low
scripture songs youtube,scripture_memory,/songs/scripture-songs-youtube,informational,medium
scripture songs videos,scripture_memory,/songs/scripture-songs-videos,informational,medium
scripture songs cd,scripture_memory,/songs/scripture-songs-cd,commercial,medium
scripture songs playlist,scripture_memory,/songs/scripture-songs-playlist,informational,low
scripture songs free download,scripture_memory,/songs/scripture-songs-free-download,commercial,medium
scripture songs for church,scripture_memory,/songs/scripture-songs-for-church,informational,medium
scripture songs for sunday school,scripture_memory,/songs/scripture-songs-for-sunday-school,informational,medium
scripture songs for vacation bible school,scripture_memory,/songs/scripture-songs-for-vacation-bible-school,informational,low
scripture songs for awana,scripture_memory,/songs/scripture-songs-for-awana,informational,low
scripture songs psalms,scripture_memory,/songs/scripture-songs-psalms,informational,medium
scripture songs proverbs,scripture_memory,/songs/scripture-songs-proverbs,informational,low
scripture songs john 3 16,scripture_memory,/songs/scripture-songs-john-3-16,informational,low
scripture songs psalm 23,scripture_memory,/songs/scripture-songs-psalm-23,informational,low
scripture songs beatitudes,scripture_memory,/songs/scripture-songs-beatitudes,informational,low
scripture songs ten commandments,scripture_memory,/songs/scripture-songs-ten-commandments,informational,low
scripture songs armor of god,scripture_memory,/songs/scripture-songs-armor-of-god,informational,low
scripture songs fruits of the spirit,scripture_memory,/songs/scripture-songs-fruits-of-the-spirit,informational,low
scripture songs love chapter,scripture_memory,/songs/scripture-songs-love-chapter,informational,low
scripture songs old testament,scripture_memory,/songs/scripture-songs-old-testament,informational,low
scripture songs new testament,scripture_memory,/songs/scripture-songs-new-testament,informational,low
easy scripture songs for kids,scripture_memory,/songs/easy-scripture-songs-for-kids,informational,medium
simple scripture songs,scripture_memory,/songs/simple-scripture-songs,informational,medium
interactive scripture songs,scripture_memory,/songs/interactive-scripture-songs,informational,low
scripture songs with motions,scripture_memory,/songs/scripture-songs-with-motions,informational,low
kids worship music videos,worship,/songs/kids-worship-music-videos,informational,medium
