relpath,section,title,slug,issues,actions,meta_ok,featured_ok,related_ok,resources_ok,selected_songs,selected_scores
content\activities\40-popular-sunday-school-songs\index.md,40-popular-sunday-school-songs,40 Popular Sunday School Songs | Seeds Kids Worship,/activities/40-popular-sunday-school-songs,slug_filename_mismatch,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Your Word in My Heart|Delight|Lead Me To The Rock,0.391|0.316|0.307|0.258
content\activities\action-songs-for-kids-for-sunday-school\index.md,action-songs-for-kids-for-sunday-school,Index,index,,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Do What It Says|Your Word in My Heart|Delight,0.429|0.27|0.242|0.24
content\activities\action-songs-for-kids-sunday-school\index.md,action-songs-for-kids-sunday-school,Index,index,,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Do What It Says|Your Word in My Heart|Delight,0.369|0.257|0.256|0.236
content\activities\best-vacation-bible-school-songs\index.md,best-vacation-bible-school-songs,Best Vacation Bible School Songs | Seeds Kids Worship,/activities/best-vacation-bible-school-songs,slug_filename_mismatch,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Lead Me To The Rock|Delight|Your Word in My Heart,0.445|0.36|0.342|0.318
content\activities\best-vbs-theme-songs\index.md,best-vbs-theme-songs,Index,index,,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Delight|Your Word in My Heart|Lead Me To The Rock,0.494|0.386|0.291|0.278
content\activities\bible-songs-for-kids-for-sunday-school\index.md,bible-songs-for-kids-for-sunday-school,Index,index,,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Delight|Your Word in My Heart|Lead Me To The Rock,0.454|0.315|0.276|0.228
content\activities\bible-songs-for-preschoolers-for-sunday-school\index.md,bible-songs-for-preschoolers-for-sunday-school,Index,index,,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Your Word in My Heart|Delight|Lead Me To The Rock,0.394|0.275|0.258|0.247
content\activities\bible-story-songs-for-sunday-school\index.md,bible-story-songs-for-sunday-school,Index,index,,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Your Word in My Heart|Delight|Lead Me To The Rock,0.425|0.281|0.251|0.241
content\activities\children-s-choir-songs-for-christmas\index.md,children-s-choir-songs-for-christmas,Index,index,,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Your Word in My Heart|Delight|Lead Me To The Rock,0.436|0.307|0.298|0.265
content\activities\children-s-choir-songs-for-easter\index.md,children-s-choir-songs-for-easter,Index,index,,updated_featured|updated_related|updated_resources,True,True,True,True,Delight Yourself In The Lord|Your Word in My Heart|Delight|Lead Me To The Rock,0.408|0.303|0.28|0.269
