relpath,action,chunks,changes_chars,notes
content/activities/action-songs-for-kids-for-sunday-school/index.md,updated,1,1,
content/activities/action-songs-for-kids-sunday-school/index.md,updated,1,1,
content/activities/best-vacation-bible-school-songs/index.md,updated,1,1,
content/activities/best-vbs-theme-songs/index.md,updated,1,1,
content/activities/bible-songs-for-kids-for-sunday-school/index.md,updated,1,1,
content/activities/bible-songs-for-preschoolers-for-sunday-school/index.md,updated,1,1,
content/activities/bible-story-songs-for-sunday-school/index.md,updated,1,1,
content/activities/children-s-choir-songs-for-christmas/index.md,updated,1,1,
content/activities/children-s-choir-songs-for-easter/index.md,updated,1,1,
content/activities/children-s-choir-songs-for-sunday-school/index.md,updated,1,1,
content/activities/children-s-church-songs-for-christmas/index.md,updated,1,1,
content/activities/children-s-church-songs-for-easter/index.md,updated,1,1,
content/activities/children-s-church-songs-for-sunday-school/index.md,updated,1,5,
content/activities/children-s-ministry-christmas-songs/index.md,updated,1,1,
content/activities/children-s-ministry-music-for-sunday-school/index.md,updated,1,1,
content/activities/christian-christmas-songs-with-motions/index.md,updated,1,1,
content/activities/christian-kids-playlist-for-sunday-school/index.md,updated,1,5,
content/activities/christian-kids-songs-for-easter/index.md,updated,1,3,
content/activities/christian-lullabies-for-kids-for-sunday-school/index.md,updated,1,1,
content/activities/christian-preschool-songs-for-christmas/index.md,updated,1,5,
content/activities/christian-songs-with-motions-for-sunday-school/index.md,updated,1,1,
content/activities/christmas-action-songs-for-kids/index.md,updated,1,1,
content/activities/christmas-bible-songs-for-kids/index.md,updated,1,1,
content/activities/christmas-bible-songs-for-preschoolers/index.md,updated,1,1,
content/activities/christmas-bible-songs/index.md,updated,1,1,
content/activities/christmas-bible-story-songs/index.md,updated,1,1686,
content/activities/christmas-children-s-choir-songs/index.md,updated,1,1,
content/activities/christmas-children-s-church-songs/index.md,updated,1,779,
content/activities/christmas-children-s-ministry-music/index.md,updated,1,2276,
content/activities/christmas-christian-kids-playlist/index.md,updated,1,1,
content/activities/christmas-christian-lullabies-for-kids/index.md,updated,1,1663,
content/activities/christmas-christian-songs-with-motions/index.md,updated,1,1,
content/activities/christmas-christmas-songs-for-kids/index.md,updated,1,1,
content/activities/christmas-easter-songs-for-kids/index.md,updated,1,1916,
content/activities/christmas-kids-christian-music/index.md,updated,1,1626,
content/activities/christmas-kids-church-music/index.md,updated,1,759,
content/activities/christmas-kids-devotional-songs/index.md,updated,1,787,
