source,source_path,target,target_path,raw_score,adjusted_score
50 Action Songs For Kids | Seeds Kids Worship,/songs\50-action-songs-for-kids/,Action Songs For Kids For Worship | Seeds Kids Worship,/songs\action-songs-for-kids-for-worship/,0.4027,0.4527
50 Action Songs For Kids | Seeds Kids Worship,/songs\50-action-songs-for-kids/,Action Songs For Kids Tagalog | Seeds Kids Worship,/songs\action-songs-for-kids-tagalog/,0.3918,0.4418
50 Action Songs For Kids | Seeds Kids Worship,/songs\50-action-songs-for-kids/,Best Action Songs For Kids | Seeds Kids Worship,/songs\best-action-songs-for-kids/,0.3851,0.4351
50 Action Songs For Kids | Seeds Kids Worship,/songs\50-action-songs-for-kids/,Action Songs For Kids For Home | Seeds Kids Worship,/songs\action-songs-for-kids-for-home/,0.3703,0.4203
50 Action Songs For Kids | Seeds Kids Worship,/songs\50-action-songs-for-kids/,Action Songs For Kids Christian | Seeds Kids Worship,/songs\action-songs-for-kids-christian/,0.346,0.396
Action Songs For Grade 1 | Seeds Kids Worship,/songs\action-songs-for-grade-1/,Action Songs For Kids Playlist | Seeds Kids Worship,/songs\action-songs-for-kids-playlist/,0.3821,0.4321
Action Songs For Grade 1 | Seeds Kids Worship,/songs\action-songs-for-grade-1/,Action Songs For Kids English | Seeds Kids Worship,/songs\action-songs-for-kids-english/,0.3692,0.4192
Action Songs For Grade 1 | Seeds Kids Worship,/songs\action-songs-for-grade-1/,Easy Action Songs For Kids | Seeds Kids Worship,/songs\easy-action-songs-for-kids/,0.3551,0.4051
Action Songs For Grade 1 | Seeds Kids Worship,/songs\action-songs-for-grade-1/,Action Songs For Kids Interactive | Seeds Kids Worship,/songs\action-songs-for-kids-interactive/,0.3453,0.3953
Action Songs For Grade 1 | Seeds Kids Worship,/songs\action-songs-for-grade-1/,Action Songs For Kids Malayalam | Seeds Kids Worship,/songs\action-songs-for-kids-malayalam/,0.3295,0.3795
Action Songs For Kids Aparat | Seeds Kids Worship,/songs\action-songs-for-kids-aparat/,Action Songs For Kids Super Simple | Seeds Kids Worship,/songs\action-songs-for-kids-super-simple/,0.3783,0.4283
Action Songs For Kids Aparat | Seeds Kids Worship,/songs\action-songs-for-kids-aparat/,Action Songs For Kids Playlist | Seeds Kids Worship,/songs\action-songs-for-kids-playlist/,0.3497,0.3997
Action Songs For Kids Aparat | Seeds Kids Worship,/songs\action-songs-for-kids-aparat/,Action Songs For Kids Malayalam | Seeds Kids Worship,/songs\action-songs-for-kids-malayalam/,0.3329,0.3829
Action Songs For Kids Aparat | Seeds Kids Worship,/songs\action-songs-for-kids-aparat/,Action Songs For Kids App | Seeds Kids Worship,/songs\action-songs-for-kids-app/,0.3301,0.3801
Action Songs For Kids Aparat | Seeds Kids Worship,/songs\action-songs-for-kids-aparat/,Action Songs For Kids With Lyrics | Seeds Kids Worship,/songs\action-songs-for-kids-with-lyrics/,0.3291,0.3791
Action Songs For Kids App | Seeds Kids Worship,/songs\action-songs-for-kids-app/,Action Songs For Kids Youtube | Seeds Kids Worship,/songs\action-songs-for-kids-youtube/,0.5258,0.5758
Action Songs For Kids App | Seeds Kids Worship,/songs\action-songs-for-kids-app/,Action Songs For Kids For Children | Seeds Kids Worship,/songs\action-songs-for-kids-for-children/,0.4673,0.5173
Action Songs For Kids App | Seeds Kids Worship,/songs\action-songs-for-kids-app/,Action Songs For Kids Videos | Seeds Kids Worship,/songs\action-songs-for-kids-videos/,0.4602,0.5102
Action Songs For Kids App | Seeds Kids Worship,/songs\action-songs-for-kids-app/,Action Songs For Kids English | Seeds Kids Worship,/songs\action-songs-for-kids-english/,0.4485,0.4985
Action Songs For Kids App | Seeds Kids Worship,/songs\action-songs-for-kids-app/,Easy Action Songs For Kids | Seeds Kids Worship,/songs\easy-action-songs-for-kids/,0.4464,0.4964
Action Songs For Kids Cd | Seeds Kids Worship,/songs\action-songs-for-kids-cd/,Action Songs For Kids The Singing Walrus Download | Seeds Kids Worship,/songs\action-songs-for-kids-the-singing-walrus-download/,0.385,0.435
Action Songs For Kids Cd | Seeds Kids Worship,/songs\action-songs-for-kids-cd/,Action Songs For Kids For Babies | Seeds Kids Worship,/songs\action-songs-for-kids-for-babies/,0.3844,0.4344
Action Songs For Kids Cd | Seeds Kids Worship,/songs\action-songs-for-kids-cd/,What Are Action Songs For Kids? | Seeds Kids Worship,/songs\what-are-action-songs-for-kids/,0.365,0.415
Action Songs For Kids Cd | Seeds Kids Worship,/songs\action-songs-for-kids-cd/,Action Songs For Kids App | Seeds Kids Worship,/songs\action-songs-for-kids-app/,0.3608,0.4108
Action Songs For Kids Cd | Seeds Kids Worship,/songs\action-songs-for-kids-cd/,Action Songs For Kids For Home | Seeds Kids Worship,/songs\action-songs-for-kids-for-home/,0.3578,0.4078
Action Songs For Kids Christian | Seeds Kids Worship,/songs\action-songs-for-kids-christian/,Action Songs For Kids For Kids | Seeds Kids Worship,/songs\action-songs-for-kids-for-kids/,0.3852,0.4352
